"id","name","breed","sex","shots","licensed","neutered","birthday","weight"
"0","Selina","Beagle","M","0","0","1","2007-09-16","28"
"0","Enos","Golden Retriever","F","0","1","1","2007-10-03","122"
"0","Lenora","Beagle","M","0","1","0","2008-05-06","51"
"0","Lucius","Pug","M","0","1","0","2004-10-22","32"
"0","Earnestine","Mastiff","F","1","0","1","2015-09-09","55"
"0","Jaydon","Doberman Pinscher","F","1","1","0","2013-11-21","66"
"0","Neil","Yorkshire Terriers","M","0","0","1","2000-02-07","95"
"0","Arlo","Afghan","F","0","0","1","2016-06-07","49"
"0","Lillian","Australian Shepherd","M","1","0","1","2004-07-08","53"
"0","Katharina","Pug","M","0","1","0","2000-02-22","117"
"0","Lauren","Alaskan Malamute","F","1","1","1","2004-09-25","64"
"0","Nellie","Great Dane","F","0","0","0","2001-05-20","37"
"0","Mason","Cavalier King Charles Spaniel","F","0","1","0","2017-12-01","131"
"0","Justen","Rottweiler","F","0","0","1","2006-12-25","105"
"0","Lamar","Shih Tzu","F","0","0","0","2017-05-01","28"
"0","Chanelle","Bulldog","F","0","0","0","2008-01-19","8"
"0","Tremaine","Australian Shepherd","F","0","0","0","2012-02-06","80"
"0","Edgar","Rottweiler","F","0","0","1","2004-11-10","49"
"0","Alicia","German Shepherd","F","1","1","1","2015-02-18","46"
"0","Toney","Boston Terrier","F","0","0","1","2009-01-20","125"
"0","Adelia","Beagle","F","0","1","0","2015-03-25","12"
"0","Jose","Great Dane","M","0","0","0","2013-10-05","122"
"0","Alda","Irish Wolfhound","F","0","1","1","2010-10-05","36"
"0","Margaret","Golden Retriever","F","0","1","0","2001-03-01","129"
"0","Bria","Alaskan Malamute","M","0","1","1","2001-10-04","59"
"0","Joanne","Shih Tzu","F","0","0","0","2016-12-25","25"
"0","Janice","Beagle","F","0","0","1","2006-04-02","23"
"0","Vilma","Doberman Pinscher","F","0","0","0","2000-09-08","51"
"0","Leilani","Shih Tzu","F","1","0","1","2003-08-12","108"
"0","Louvenia","Golden Retriever","F","0","1","0","2010-10-07","65"
"0","Laverna","Cavalier King Charles Spaniel","F","0","0","0","2007-09-02","33"
"0","Wilfrid","Australian Shepherd","M","0","0","0","2016-07-21","77"
"0","Marilie","Golden Retriever","F","0","1","0","2010-11-20","55"
"0","Brent","Yorkshire Terriers","F","1","1","1","2016-01-21","44"
"0","Alessandro","Irish Wolfhound","F","1","1","1","2005-08-17","107"
"0","Antonette","Labrador","M","1","1","1","2008-07-17","123"
"0","Reece","Golden Retriever","M","0","0","0","2014-02-09","23"
"0","Wilfrid","Beagle","F","0","0","0","2003-12-02","75"
"0","Aletha","Huskie","M","0","1","1","2004-05-06","101"
"0","Brent","Irish Wolfhound","F","0","1","0","2005-03-16","101"
"0","Alan","Beagle","F","0","0","0","2001-11-04","84"
"0","Lavonne","Dalmatian","F","1","1","0","2007-08-26","62"
"0","Shirley","Bernese Mountain Dog","M","0","1","0","2015-12-04","59"
"0","Santa","Dalmatian","M","0","1","0","2012-06-20","24"
"0","Lempi","Corgi","M","1","1","0","2012-02-09","54"
"0","Annie","Cavalier King Charles Spaniel","F","1","0","0","2016-02-08","119"
"0","Theodora","Bernese Mountain Dog","M","0","1","1","2000-01-16","132"
"0","Harold","Beagle","F","1","1","0","2011-06-02","41"
"0","Pat","Irish Wolfhound","F","1","1","1","2016-09-17","45"
"0","Adrian","Golden Retriever","F","1","0","1","2014-05-26","116"
"0","Simone","Dachshunds","M","0","0","1","2015-08-09","67"
"0","Kaley","Australian Shepherd","M","0","1","1","2007-06-23","15"
"0","Beaulah","Cavalier King Charles Spaniel","M","0","0","0","2016-10-09","62"
"0","Kasandra","Bernese Mountain Dog","M","1","1","1","2001-06-02","104"
"0","Henderson","Poodle","M","0","1","1","2010-10-18","34"
"0","Imani","Rottweiler","M","0","1","0","2003-08-06","8"
"0","Benjamin","Boston Terrier","M","1","1","0","2010-07-14","27"
"0","Alaina","Corgi","F","0","1","1","2014-09-19","89"
"0","Kim","Corgi","F","1","1","1","2000-05-09","89"
"0","Dennis","Dalmatian","M","1","0","0","2014-11-03","61"
"0","Major","Dalmatian","M","1","1","0","2014-09-11","32"
"0","Verla","Labrador","F","1","1","0","2009-05-03","106"
"0","Aiyana","Alaskan Malamute","F","0","1","1","2010-08-28","52"
"0","Rosario","Afghan","M","1","0","0","2015-09-08","66"
"0","Anita","Irish Wolfhound","M","0","0","0","2010-06-23","134"
"0","Annabel","German Shepherd","M","0","1","0","2011-12-23","80"
"0","Arlie","Rottweiler","F","1","0","0","2012-05-15","13"
"0","Jaquan","Labrador","F","1","0","0","2002-12-02","61"
"0","Trever","Rottweiler","F","1","0","0","2011-09-17","58"
"0","Kali","Cavalier King Charles Spaniel","F","1","0","1","2004-01-08","94"
"0","Maye","Alaskan Malamute","F","1","1","0","2013-09-25","55"
"0","Jarred","Mastiff","M","1","1","0","2003-06-21","18"
"0","Reilly","Dalmatian","M","0","0","0","2007-07-28","73"
"0","Lulu","Bernese Mountain Dog","M","1","1","0","2017-04-13","22"
"0","Emil","Poodle","F","1","1","0","2016-06-03","33"
"0","Noe","Poodle","F","1","0","1","2009-01-10","79"
"0","Sydnee","Corgi","F","0","0","0","2015-06-06","65"
"0","Deja","Beagle","M","0","0","1","2003-03-14","113"
"0","Maurice","Border Collie","F","0","1","0","2002-01-13","25"
"0","Nakia","Dachshunds","F","0","0","0","2003-08-27","18"
"0","Chester","Yorkshire Terriers","M","1","0","0","2011-11-20","130"
"0","Merlin","Border Collie","M","1","1","1","2004-07-01","19"
"0","Travis","Bernese Mountain Dog","M","1","1","1","2002-09-09","60"
"0","Rodrigo","Pug","F","0","1","1","2003-04-21","93"
"0","Raegan","Boston Terrier","F","0","0","1","2010-02-25","52"
"0","Vance","Cavalier King Charles Spaniel","M","0","1","1","2015-11-11","8"
"0","Marcella","Beagle","F","1","1","0","2002-02-04","114"
"0","Lessie","Afghan","M","0","1","0","2000-01-12","123"
"0","Edyth","Golden Retriever","F","0","1","1","2005-09-03","62"
"0","Keagan","Boston Terrier","F","0","0","0","2004-02-07","63"
"0","Kaia","Pug","F","1","0","0","2001-03-28","26"
"0","Darrell","Alaskan Malamute","F","0","1","1","2012-06-12","35"
"0","Hulda","Dalmatian","F","0","1","0","2016-05-01","93"
"0","Dewitt","Bulldog","M","1","0","0","2000-02-19","63"
"0","Favian","Australian Shepherd","M","0","0","1","2000-01-15","123"
"0","Kathlyn","Yorkshire Terriers","M","0","0","1","2012-06-18","93"
"0","Blaze","Alaskan Malamute","F","1","0","0","2012-12-25","16"
"0","Thelma","Alaskan Malamute","M","1","0","1","2010-08-22","23"
"0","Courtney","Dachshunds","M","0","1","0","2004-08-19","133"
"0","Emiliano","Labrador","M","1","0","1","2000-03-19","110"
"0","Barrett","Pug","F","0","1","1","2009-01-07","84"
"0","Destiney","Australian Shepherd","F","0","0","0","2016-03-14","109"
"0","Vella","Mastiff","M","0","1","0","2003-05-07","69"
"0","Nicolas","Boxers","M","1","1","0","2001-02-14","35"
"0","Chris","Poodle","F","1","0","0","2014-06-08","58"
"0","Ahmad","Shih Tzu","F","0","0","0","2003-02-14","129"
"0","Raleigh","Corgi","F","1","1","1","2000-12-24","88"
"0","Cecilia","Great Dane","M","0","0","1","2003-10-01","71"
"0","Celestino","Bulldog","F","1","1","0","2015-05-21","129"
"0","Ethelyn","Labrador","M","1","0","0","2013-03-09","64"
"0","Lura","German Shepherd","F","1","1","0","2004-01-04","58"
"0","Terrell","Boxers","M","1","0","0","2007-05-14","109"
"0","Newell","Alaskan Malamute","M","1","1","1","2001-06-16","12"
"0","Darrell","Pug","F","0","0","0","2001-06-22","20"
"0","Brandon","Huskie","M","1","0","1","2001-02-16","102"
"0","Idell","Bernese Mountain Dog","F","1","1","0","2012-04-15","100"
"0","Sherman","Bernese Mountain Dog","F","1","0","1","2015-11-07","38"
"0","Audreanne","German Shepherd","F","0","0","0","2012-06-05","20"
"0","Eda","Australian Shepherd","M","1","1","0","2001-09-20","79"
"0","Marcel","Huskie","M","1","0","1","2011-11-13","18"
"0","Rosetta","Boston Terrier","F","0","0","1","2001-03-10","6"
"0","Haleigh","Corgi","M","0","1","1","2007-03-06","27"
"0","Rubie","Bulldog","F","0","0","1","2000-05-23","40"
"0","Alessia","Golden Retriever","F","0","1","1","2001-05-25","23"
"0","Addie","Doberman Pinscher","F","1","1","1","2003-08-08","117"
"0","Name","Afghan","F","0","1","0","2004-10-02","35"
"0","Bianka","Alaskan Malamute","M","1","0","1","2016-11-20","68"
"0","Kelsi","Golden Retriever","F","1","0","1","2000-04-28","66"
"0","Casey","Boxers","M","1","1","0","2007-09-13","128"
"0","Pete","German Shepherd","F","0","1","1","2016-12-11","7"
"0","Destinee","Bulldog","F","0","1","1","2011-03-14","26"
"0","Merlin","Boston Terrier","M","1","1","1","2002-03-17","30"
"0","Gabe","Pug","F","1","1","1","2010-11-28","24"
"0","Howell","Australian Shepherd","F","0","0","0","2017-01-20","117"
"0","Maudie","Poodle","F","0","0","1","2016-03-10","14"
"0","Mossie","Beagle","F","0","1","0","2003-09-11","53"
"0","Moshe","Corgi","F","0","0","0","2000-01-08","93"
"0","Reece","Boxers","F","1","0","0","2009-08-27","86"
"0","Nikki","Bulldog","F","1","0","1","2012-05-13","11"
"0","Mack","Mastiff","M","0","1","0","2008-11-15","20"
"0","Gerard","Irish Wolfhound","M","0","0","1","2016-04-14","116"
"0","Berry","Dachshunds","F","1","1","0","2001-02-08","25"
"0","Jean","Mastiff","M","0","1","1","2015-06-16","107"
"0","Amie","Yorkshire Terriers","F","1","0","1","2000-12-05","8"
"0","Aimee","Labrador","M","1","1","0","2007-05-06","7"
"0","Lera","Labrador","M","1","1","1","2001-08-24","10"
"0","Kaleigh","Boxers","M","1","0","1","2006-05-21","15"
"0","Laurence","Shih Tzu","F","0","1","0","2006-11-24","19"
"0","Luther","Boston Terrier","F","1","1","0","2010-06-24","13"
"0","Adan","Alaskan Malamute","F","0","0","0","2009-12-15","50"
"0","Felicia","German Shepherd","M","0","0","1","2010-04-02","6"
"0","Zackery","Border Collie","M","1","1","1","2006-03-14","19"
"0","Jerel","Irish Wolfhound","F","0","1","1","2000-10-03","56"
"0","Odell","Golden Retriever","M","1","0","1","2014-06-05","60"
"0","Gina","Labrador","M","1","0","1","2002-05-19","66"
"0","Sasha","Corgi","F","0","1","0","2000-04-16","86"
"0","Darrin","German Shepherd","F","1","0","1","2009-03-24","83"
"0","Monica","Labrador","M","0","0","0","2007-09-20","44"
"0","Assunta","Great Dane","F","0","0","0","2011-07-05","19"
"0","Buster","Bulldog","F","1","0","0","2012-12-07","92"
"0","Rebeca","Alaskan Malamute","F","1","1","0","2003-01-19","100"
"0","Rusty","Border Collie","F","0","0","1","2011-06-08","123"
"0","Daija","Cavalier King Charles Spaniel","F","0","0","0","2014-04-05","116"
"0","Barry","Beagle","F","0","1","1","2017-07-02","17"
"0","Moshe","Beagle","F","0","1","0","2001-11-21","117"
"0","Eleonore","Afghan","M","1","1","0","2015-02-12","78"
"0","Jaquan","Mastiff","F","1","1","0","2014-01-16","27"
"0","Sidney","Bulldog","F","1","1","1","2004-01-14","44"
"0","Weston","Boston Terrier","M","1","1","0","2006-11-22","111"
"0","Minnie","Great Dane","M","1","0","1","2009-06-27","97"
"0","Adriana","Mastiff","F","1","1","1","2010-06-14","120"
"0","Declan","Bernese Mountain Dog","M","0","0","1","2013-04-18","78"
"0","Kevin","Australian Shepherd","F","1","1","0","2006-04-13","66"
"0","Sierra","Huskie","M","0","1","0","2013-02-21","67"
"0","Leanna","Bernese Mountain Dog","F","1","1","0","2003-11-24","24"
"0","Arvid","Boxers","F","1","0","1","2001-12-11","25"
"0","Claude","Bernese Mountain Dog","F","1","1","0","2001-11-11","134"
"0","Jacquelyn","Huskie","F","0","1","1","2014-08-01","64"
"0","Valentina","Cavalier King Charles Spaniel","F","1","1","1","2015-04-08","9"
"0","Felipa","Huskie","F","0","0","1","2002-11-16","79"
"0","Ahmad","Irish Wolfhound","F","0","0","0","2008-08-05","52"
"0","Allie","Boston Terrier","M","0","1","0","2010-08-27","22"
"0","Reilly","Pug","F","1","1","0","2002-12-07","104"
"0","Herta","Pug","M","0","1","1","2002-10-16","63"
"0","Earl","Border Collie","M","1","1","0","2011-01-21","119"
"0","Nickolas","Australian Shepherd","M","1","1","1","2015-01-22","111"
"0","Norma","Afghan","M","1","0","1","2010-01-20","80"
"0","Dahlia","Boxers","M","1","0","0","2013-06-20","69"
"0","Ricky","Pug","F","1","0","1","2016-06-08","32"
"0","Berry","Boxers","F","0","1","0","2016-02-27","111"
"0","Ari","Labrador","M","1","0","1","2007-12-24","115"
"0","Abner","Beagle","F","1","1","0","2017-09-14","133"
"0","Burley","Yorkshire Terriers","F","1","0","1","2015-11-28","10"
"0","Winfield","Australian Shepherd","M","0","0","1","2007-03-20","53"
"0","Florence","Rottweiler","M","0","1","0","2001-09-01","86"
"0","Lisa","Poodle","F","0","1","0","2004-01-07","127"
"0","Kaitlin","Beagle","M","0","1","0","2004-09-07","37"
"0","Nikki","German Shepherd","F","0","0","1","2012-05-28","56"
"0","Callie","Rottweiler","M","1","0","1","2004-05-27","125"
"0","Mason","Irish Wolfhound","F","0","0","0","2016-08-14","75"
"0","Enrique","Border Collie","M","0","1","0","2005-01-26","37"
"0","Ervin","Pug","F","0","1","1","2008-01-25","44"
"0","Flo","Alaskan Malamute","F","0","0","1","2014-07-19","21"
"0","Saul","German Shepherd","M","0","0","0","2003-12-27","61"
"0","Olga","Mastiff","F","0","1","0","2002-11-09","49"
"0","Giovani","Australian Shepherd","F","0","0","1","2009-05-09","16"
"0","Brandyn","Bernese Mountain Dog","F","0","1","1","2011-02-03","55"
"0","Vena","Boston Terrier","M","1","0","0","2007-02-10","69"
"0","Giuseppe","Great Dane","F","0","0","0","2009-02-07","96"
"0","Jordyn","Bernese Mountain Dog","F","0","1","0","2002-01-23","94"
"0","Hildegard","German Shepherd","F","1","1","0","2006-07-16","45"
"0","Drake","Dachshunds","M","0","0","0","2013-06-10","104"
"0","Francisco","Bulldog","M","0","1","1","2005-07-18","44"
"0","Cicero","Golden Retriever","F","0","1","1","2009-02-17","17"
"0","Estell","Bernese Mountain Dog","F","0","1","1","2014-01-08","109"
"0","Erika","Poodle","M","0","1","0","2010-08-28","69"
"0","Cristina","Labrador","F","1","1","1","2017-04-27","134"
"0","Ruth","Rottweiler","M","1","1","0","2010-07-13","51"
"0","Barrett","Irish Wolfhound","F","1","1","1","2008-01-08","55"
"0","Pink","Dalmatian","F","1","1","0","2005-12-13","118"
"0","Angeline","Bernese Mountain Dog","F","1","0","1","2005-05-09","131"
"0","Tatum","Huskie","F","1","1","0","2013-12-23","28"
"0","Clemmie","Alaskan Malamute","M","1","0","0","2006-04-11","84"
"0","Reyna","Afghan","F","0","0","1","2015-03-09","14"
"0","Estrella","Rottweiler","M","0","1","1","2008-05-03","19"
"0","Cornell","Border Collie","M","0","1","1","2004-08-05","47"
"0","Johnpaul","Rottweiler","F","0","1","1","2011-04-14","113"
"0","Margarete","Irish Wolfhound","M","0","1","0","2001-10-18","16"
"0","Percy","Labrador","M","0","0","1","2001-02-23","46"
"0","Abraham","Poodle","M","1","1","0","2007-02-24","80"
"0","Clara","Alaskan Malamute","M","0","1","1","2000-08-24","73"
"0","Kelton","Corgi","M","0","1","1","2007-04-14","82"
"0","Jacynthe","Yorkshire Terriers","F","1","0","1","2007-01-27","82"
"0","Darius","Rottweiler","M","1","1","1","2016-05-06","48"
"0","Cathrine","Rottweiler","F","1","0","0","2008-09-21","133"
"0","Kaleb","Shih Tzu","M","1","0","1","2004-11-01","55"
"0","Earnest","Great Dane","F","1","1","0","2004-11-18","66"
"0","Sheila","Australian Shepherd","F","0","0","0","2015-04-04","123"
"0","Guadalupe","Australian Shepherd","F","1","1","1","2007-10-22","118"
"0","Alex","Irish Wolfhound","M","1","0","0","2004-05-19","79"
"0","Gustave","Bulldog","F","0","0","0","2013-05-20","119"
"0","Laurine","Dachshunds","M","0","0","1","2014-05-16","83"
"0","Darren","Golden Retriever","F","1","0","0","2013-04-24","131"
"0","Tressie","Dachshunds","F","0","1","1","2010-10-10","46"
"0","Maryjane","Rottweiler","M","0","1","0","2015-08-20","67"
"0","Makenna","Shih Tzu","M","0","1","0","2004-06-17","34"
"0","Alisa","Bernese Mountain Dog","F","0","0","0","2012-09-12","42"
"0","Kyler","Boston Terrier","M","0","1","0","2008-11-10","124"
"0","Tristian","Border Collie","M","1","1","0","2014-05-20","98"
"0","Adrianna","Corgi","M","0","1","0","2013-06-14","71"
"0","Coty","Yorkshire Terriers","M","0","0","1","2006-03-07","83"
"0","Werner","Great Dane","M","1","0","0","2012-04-24","86"
"0","Leopold","Border Collie","F","0","0","0","2003-10-04","37"
"0","Rasheed","Alaskan Malamute","F","0","1","1","2014-10-04","114"
"0","Noelia","Poodle","M","0","0","0","2005-03-10","100"
"0","Mitchel","Border Collie","M","0","1","0","2003-03-12","91"
"0","Edythe","Yorkshire Terriers","M","0","0","0","2017-03-25","87"
"0","Jarvis","Huskie","F","1","0","0","2010-05-05","126"
"0","Megane","Golden Retriever","M","1","0","1","2006-05-15","109"
"0","Lexus","Border Collie","M","1","1","0","2009-11-21","12"
"0","Liza","Doberman Pinscher","F","1","1","1","2003-05-09","20"
"0","Gertrude","Boston Terrier","M","1","1","1","2008-07-06","39"
"0","Aaliyah","Golden Retriever","F","0","1","1","2006-03-07","10"
"0","Roberto","Labrador","M","0","1","0","2014-12-01","122"
"0","Leanna","Huskie","M","1","0","0","2005-07-22","127"
"0","Veronica","Cavalier King Charles Spaniel","M","1","0","0","2014-06-15","128"
"0","Sylvia","Dachshunds","F","0","1","0","2014-10-24","30"
"0","Dino","Yorkshire Terriers","F","0","1","0","2017-04-05","17"
"0","Freddie","Golden Retriever","F","0","1","1","2016-07-08","105"
"0","Winfield","German Shepherd","M","0","1","0","2010-04-20","75"
"0","Kasandra","Shih Tzu","F","0","0","0","2001-05-06","112"
"0","Marcelo","Bernese Mountain Dog","F","0","0","1","2009-07-16","120"
"0","Hailie","Labrador","M","0","1","1","2015-06-26","30"
"0","Betty","Mastiff","M","1","0","1","2002-02-02","81"
"0","Alfonso","Labrador","M","0","0","1","2006-12-12","27"
"0","Hayden","Rottweiler","F","1","1","0","2002-03-09","75"
"0","Brown","Australian Shepherd","M","1","1","1","2004-07-04","12"
"0","Amelie","Doberman Pinscher","M","0","1","0","2011-01-15","39"
"0","Winnifred","Australian Shepherd","M","0","0","0","2003-11-18","121"
"0","Selina","Mastiff","M","0","0","0","2012-09-05","9"
"0","Halie","Boxers","F","1","1","1","2017-01-03","76"
"0","Alta","Rottweiler","F","1","1","0","2010-10-22","39"
"0","Gregoria","Dachshunds","F","1","0","0","2007-09-06","48"
"0","Twila","German Shepherd","M","1","1","0","2004-06-08","95"
"0","Opal","Boston Terrier","M","0","0","1","2000-11-25","129"
"0","Kayli","Golden Retriever","F","0","1","1","2014-01-10","82"
"0","Deron","Irish Wolfhound","F","1","1","1","2009-11-23","124"
"0","Trycia","Poodle","F","1","1","1","2009-11-22","65"
"0","Angelica","Boxers","F","1","1","1","2005-11-02","94"
"0","Thurman","Alaskan Malamute","M","0","1","0","2011-06-21","66"
"0","Ara","Golden Retriever","F","1","0","1","2001-11-20","92"
"0","Clement","Mastiff","F","0","1","0","2009-08-10","21"
"0","Dawson","Huskie","M","0","0","1","2005-11-17","66"
"0","Lyric","Cavalier King Charles Spaniel","F","0","1","1","2006-05-02","119"
"0","Jerrod","Mastiff","F","0","1","0","2000-02-16","97"
"0","Yolanda","Doberman Pinscher","M","1","1","0","2004-04-26","85"
"0","Aric","Rottweiler","M","1","0","0","2013-02-20","131"
"0","Angie","Huskie","F","0","1","1","2008-05-24","115"
"0","Angelo","Australian Shepherd","F","0","1","1","2010-10-05","103"
"0","Alexandre","Doberman Pinscher","F","1","1","1","2010-11-26","107"
"0","Heber","Bernese Mountain Dog","F","1","0","0","2008-05-05","128"
"0","Kiara","Shih Tzu","M","0","0","0","2012-11-13","21"
"0","Yasmin","Dalmatian","M","0","0","1","2007-12-27","67"
"0","Florine","Bernese Mountain Dog","F","0","0","1","2005-10-19","29"
"0","Marianna","Alaskan Malamute","M","0","0","0","2017-09-14","93"
"0","Consuelo","Pug","F","1","0","0","2011-02-17","69"
"0","Francisca","Irish Wolfhound","M","0","1","0","2013-03-07","13"
"0","Tre","Bulldog","M","1","1","0","2007-04-16","45"
"0","Alexa","Cavalier King Charles Spaniel","F","0","1","1","2007-02-28","79"
"0","August","Dachshunds","F","0","0","1","2006-10-24","10"
"0","Emilie","Shih Tzu","F","1","0","0","2005-09-04","56"
"0","Lane","Poodle","M","0","1","0","2014-07-02","128"
"0","Roxanne","Poodle","F","1","0","0","2005-09-20","108"
"0","Darion","Doberman Pinscher","M","0","1","0","2013-09-17","43"
"0","Summer","Mastiff","F","1","1","1","2003-01-06","28"
"0","Amari","Golden Retriever","F","0","1","0","2015-08-07","89"
"0","Yesenia","Afghan","F","0","1","1","2007-12-16","95"
"0","Mathias","Beagle","M","1","0","1","2010-11-04","21"
"0","Yazmin","Afghan","M","0","0","1","2008-05-18","18"
"0","Shayna","Australian Shepherd","M","0","1","0","2004-03-23","19"
"0","Jerome","Dachshunds","M","0","0","1","2002-10-08","108"
"0","Selmer","Great Dane","M","1","1","1","2005-05-23","45"
"0","Meggie","Rottweiler","M","0","0","0","2003-06-11","88"
"0","Elody","Huskie","M","0","1","0","2001-11-13","73"
"0","Anabel","German Shepherd","M","1","0","1","2014-08-20","123"
"0","Adrian","Dalmatian","M","1","1","1","2006-12-19","60"
"0","Ferne","Border Collie","F","0","0","0","2010-08-26","127"
"0","Mervin","Golden Retriever","F","1","0","0","2001-08-09","99"
"0","Hannah","Great Dane","M","0","1","0","2007-04-21","43"
"0","Novella","Australian Shepherd","M","0","0","1","2002-10-11","76"
"0","Agnes","Alaskan Malamute","M","1","1","0","2015-03-02","102"
